datetime, temp, humidity, windspeed, visibility, rain, snow
2014-01-13 00:51:00,37.9,60,5.8,10.0,0,0
2014-01-13 01:51:00,37.9,60,6.9,10.0,0,0
2014-01-13 02:51:00,37.0,62,3.5,10.0,0,0
2014-01-13 03:51:00,37.0,62,5.8,10.0,0,0
2014-01-13 04:51:00,37.0,65,0.0,10.0,0,0
2014-01-13 05:51:00,37.9,62,3.5,10.0,0,0
2014-01-13 06:51:00,37.0,67,0.0,10.0,0,0
2014-01-13 07:51:00,39.9,60,0.0,9.0,0,0
2014-01-13 08:51:00,41.0,62,4.6,7.0,0,0
2014-01-13 09:51:00,45.0,53,4.6,9.0,0,0
2014-01-13 10:51:00,46.9,52,0.0,10.0,0,0
2014-01-13 11:51:00,48.0,58,-9999.0,10.0,0,0
2014-01-13 12:51:00,50.0,61,4.6,10.0,0,0
2014-01-13 13:51:00,48.9,66,4.6,10.0,0,0
2014-01-13 14:51:00,50.0,59,5.8,10.0,0,0
2014-01-13 15:51:00,50.0,59,6.9,10.0,0,0
2014-01-13 16:51:00,48.9,59,8.1,10.0,0,0
2014-01-13 17:51:00,48.9,59,8.1,10.0,0,0
2014-01-13 18:51:00,48.9,56,11.5,10.0,0,0
2014-01-13 19:51:00,50.0,52,6.9,10.0,0,0
2014-01-13 21:51:00,48.0,61,8.1,10.0,0,0
2014-01-13 22:51:00,48.9,56,5.8,10.0,0,0
2014-01-13 23:51:00,50.0,57,6.9,10.0,0,0
