datetime, temp, humidity, windspeed, visibility, rain, snow
2013-08-24 00:51:00,72.0,49,6.9,10.0,0,0
2013-08-24 01:51:00,70.0,53,6.9,10.0,0,0
2013-08-24 02:51:00,69.1,47,9.2,10.0,0,0
2013-08-24 03:51:00,66.9,52,4.6,10.0,0,0
2013-08-24 04:51:00,66.0,54,6.9,10.0,0,0
2013-08-24 06:51:00,64.9,54,5.8,10.0,0,0
2013-08-24 07:51:00,64.9,54,9.2,10.0,0,0
2013-08-24 08:51:00,66.9,51,8.1,10.0,0,0
2013-08-24 09:51:00,69.1,49,6.9,10.0,0,0
2013-08-24 10:51:00,72.0,44,8.1,10.0,0,0
2013-08-24 11:51:00,75.9,40,4.6,10.0,0,0
2013-08-24 12:51:00,77.0,39,4.6,10.0,0,0
2013-08-24 13:51:00,80.1,34,-9999.0,10.0,0,0
2013-08-24 14:51:00,80.1,29,9.2,10.0,0,0
2013-08-24 15:51:00,78.1,32,3.5,10.0,0,0
2013-08-24 16:51:00,78.1,29,6.9,10.0,0,0
2013-08-24 17:51:00,73.9,52,4.6,10.0,0,0
2013-08-24 18:51:00,72.0,55,3.5,10.0,0,0
2013-08-24 19:51:00,70.0,57,3.5,10.0,0,0
2013-08-24 20:51:00,69.1,61,0.0,10.0,0,0
2013-08-24 21:51:00,69.1,63,0.0,10.0,0,0
2013-08-24 22:51:00,68.0,70,0.0,10.0,0,0
2013-08-24 23:51:00,68.0,65,0.0,10.0,0,0
