datetime, temp, humidity, windspeed, visibility, rain, snow
2013-11-14 00:51:00,36.0,48,6.9,10.0,0,0
2013-11-14 01:51:00,35.1,50,4.6,10.0,0,0
2013-11-14 02:51:00,34.0,52,5.8,10.0,0,0
2013-11-14 03:51:00,34.0,52,8.1,10.0,0,0
2013-11-14 04:51:00,33.1,54,5.8,10.0,0,0
2013-11-14 05:51:00,33.1,54,6.9,10.0,0,0
2013-11-14 06:51:00,33.1,54,5.8,10.0,0,0
2013-11-14 07:51:00,35.1,48,15.0,10.0,0,0
2013-11-14 08:51:00,36.0,46,10.4,10.0,0,0
2013-11-14 09:51:00,39.9,40,10.4,10.0,0,0
2013-11-14 10:51:00,43.0,34,12.7,10.0,0,0
2013-11-14 11:51:00,46.9,27,8.1,10.0,0,0
2013-11-14 12:51:00,50.0,23,8.1,10.0,0,0
2013-11-14 13:51:00,51.1,20,8.1,10.0,0,0
2013-11-14 14:51:00,52.0,19,8.1,10.0,0,0
2013-11-14 15:51:00,52.0,19,9.2,10.0,0,0
2013-11-14 16:51:00,51.1,20,-9999.0,10.0,0,0
2013-11-14 17:51:00,51.1,20,5.8,10.0,0,0
2013-11-14 18:51:00,50.0,21,-9999.0,10.0,0,0
2013-11-14 19:51:00,50.0,21,9.2,10.0,0,0
2013-11-14 20:51:00,48.9,25,9.2,10.0,0,0
2013-11-14 21:51:00,48.0,27,5.8,10.0,0,0
2013-11-14 22:51:00,48.0,28,-9999.0,10.0,0,0
2013-11-14 23:51:00,46.0,34,5.8,10.0,0,0
