datetime, temp, humidity, windspeed, visibility, rain, snow
2013-09-16 00:51:00,64.0,65,4.6,10.0,0,0
2013-09-16 01:51:00,63.0,70,3.5,10.0,0,0
2013-09-16 02:51:00,62.1,72,4.6,10.0,0,0
2013-09-16 03:51:00,63.0,72,-9999.0,10.0,0,0
2013-09-16 04:51:00,63.0,75,3.5,10.0,0,0
2013-09-16 05:51:00,63.0,75,8.1,10.0,0,0
2013-09-16 06:51:00,62.1,80,4.6,10.0,0,0
2013-09-16 07:51:00,63.0,75,0.0,10.0,0,0
2013-09-16 08:51:00,61.0,87,6.9,7.0,1,0
2013-09-16 09:51:00,61.0,81,0.0,10.0,0,0
2013-09-16 10:51:00,63.0,75,0.0,10.0,0,0
2013-09-16 11:51:00,64.0,67,4.6,10.0,0,0
2013-09-16 12:51:00,66.9,59,3.5,10.0,0,0
2013-09-16 13:51:00,70.0,47,0.0,10.0,0,0
2013-09-16 14:51:00,71.1,45,3.5,10.0,0,0
2013-09-16 15:51:00,70.0,47,4.6,10.0,0,0
2013-09-16 16:51:00,69.1,51,3.5,10.0,0,0
2013-09-16 17:51:00,69.1,45,5.8,10.0,0,0
2013-09-16 18:51:00,68.0,50,4.6,10.0,0,0
2013-09-16 19:51:00,66.0,54,4.6,10.0,0,0
2013-09-16 20:51:00,64.9,56,6.9,10.0,0,0
2013-09-16 21:51:00,64.0,60,3.5,10.0,0,0
2013-09-16 22:27:00,63.0,63,10.4,10.0,0,0
2013-09-16 22:38:00,62.1,65,9.2,10.0,0,0
2013-09-16 22:51:00,61.0,67,13.8,10.0,0,0
2013-09-16 23:51:00,59.0,62,6.9,10.0,0,0
