datetime, temp, humidity, windspeed, visibility, rain, snow
2014-01-26 00:51:00,23.0,68,9.2,9.0,0,0
2014-01-26 01:51:00,23.0,65,15.0,10.0,0,0
2014-01-26 02:51:00,23.0,50,16.1,10.0,0,0
2014-01-26 04:51:00,19.0,38,5.8,10.0,0,0
2014-01-26 05:51:00,19.0,40,10.4,10.0,0,0
2014-01-26 06:51:00,18.0,41,11.5,10.0,0,0
2014-01-26 07:51:00,17.1,41,9.2,10.0,0,0
2014-01-26 08:51:00,18.0,41,6.9,10.0,0,0
2014-01-26 09:51:00,18.0,40,9.2,10.0,0,0
2014-01-26 10:51:00,19.9,37,5.8,10.0,0,0
2014-01-26 11:51:00,19.9,37,5.8,10.0,0,0
2014-01-26 12:51:00,21.0,36,0.0,10.0,0,0
2014-01-26 13:51:00,21.0,38,-9999.0,10.0,0,0
2014-01-26 14:51:00,21.0,44,6.9,10.0,0,0
2014-01-26 15:51:00,21.0,60,-9999.0,7.0,0,0
2014-01-26 16:51:00,21.9,55,-9999.0,10.0,0,0
2014-01-26 18:51:00,25.0,51,3.5,10.0,0,0
2014-01-26 19:51:00,27.0,47,3.5,10.0,0,0
2014-01-26 20:51:00,28.0,51,5.8,10.0,0,0
2014-01-26 21:51:00,30.9,50,5.8,10.0,0,0
2014-01-26 22:51:00,32.0,51,4.6,10.0,0,0
2014-01-26 23:51:00,33.1,56,4.6,10.0,0,0
