datetime, temp, humidity, windspeed, visibility, rain, snow
2014-03-03 00:51:00,32.0,50,8.1,10.0,0,0
2014-03-03 01:51:00,30.0,49,6.9,10.0,0,0
2014-03-03 02:46:00,26.6,64,13.8,2.5,0,1
2014-03-03 02:51:00,26.1,66,12.7,2.0,0,1
2014-03-03 03:27:00,25.0,72,9.2,1.2,0,1
2014-03-03 03:51:00,24.1,77,6.9,1.2,0,1
2014-03-03 04:51:00,23.0,74,10.4,1.8,0,1
2014-03-03 05:32:00,21.9,72,6.9,2.0,0,1
2014-03-03 05:40:00,21.9,72,6.9,4.0,0,1
2014-03-03 05:51:00,21.9,58,-9999.0,8.0,0,0
2014-03-03 06:51:00,21.9,44,13.8,10.0,0,0
2014-03-03 07:51:00,21.0,44,8.1,10.0,0,0
2014-03-03 08:51:00,19.9,46,-9999.0,10.0,0,0
2014-03-03 09:51:00,21.0,44,6.9,10.0,0,0
2014-03-03 10:51:00,21.0,44,6.9,10.0,0,0
2014-03-03 11:51:00,19.9,40,8.1,10.0,0,0
2014-03-03 12:51:00,19.9,38,3.5,10.0,0,0
2014-03-03 13:51:00,21.0,38,-9999.0,10.0,0,0
2014-03-03 14:51:00,21.0,38,4.6,10.0,0,0
2014-03-03 15:51:00,21.9,38,4.6,10.0,0,0
2014-03-03 16:51:00,21.9,37,4.6,10.0,0,0
2014-03-03 17:51:00,21.9,38,6.9,10.0,0,0
2014-03-03 18:51:00,21.9,38,3.5,10.0,0,0
2014-03-03 19:51:00,21.0,40,9.2,10.0,0,0
2014-03-03 20:51:00,21.0,42,8.1,10.0,0,0
2014-03-03 21:51:00,19.9,38,5.8,10.0,0,0
2014-03-03 22:51:00,19.0,42,0.0,10.0,0,0
2014-03-03 23:51:00,18.0,40,4.6,10.0,0,0
