datetime, temp, humidity, windspeed, visibility, rain, snow
2013-09-13 00:51:00,70.0,90,0.0,6.0,0,0
2013-09-13 01:51:00,70.0,87,8.1,8.0,0,0
2013-09-13 02:51:00,69.1,90,4.6,8.0,0,0
2013-09-13 03:51:00,69.1,90,4.6,3.0,1,0
2013-09-13 04:51:00,66.9,93,3.5,8.0,1,0
2013-09-13 05:51:00,66.9,90,3.5,7.0,0,0
2013-09-13 06:51:00,66.9,90,3.5,9.0,0,0
2013-09-13 07:51:00,68.0,87,5.8,8.0,0,0
2013-09-13 08:51:00,66.9,81,3.5,10.0,0,0
2013-09-13 09:51:00,70.0,71,0.0,10.0,0,0
2013-09-13 10:51:00,70.0,65,9.2,10.0,0,0
2013-09-13 11:51:00,69.1,68,4.6,10.0,0,0
2013-09-13 12:51:00,70.0,63,-9999.0,10.0,0,0
2013-09-13 13:51:00,73.9,53,3.5,10.0,0,0
2013-09-13 14:51:00,75.9,50,9.2,10.0,0,0
2013-09-13 15:51:00,75.0,50,8.1,10.0,0,0
2013-09-13 16:51:00,73.0,49,3.5,10.0,0,0
2013-09-13 17:51:00,72.0,46,4.6,10.0,0,0
2013-09-13 18:51:00,69.1,53,10.4,10.0,0,0
2013-09-13 19:51:00,66.9,52,-9999.0,10.0,0,0
2013-09-13 20:51:00,64.9,54,3.5,10.0,0,0
2013-09-13 21:51:00,63.0,56,-9999.0,10.0,0,0
2013-09-13 22:51:00,61.0,60,3.5,10.0,0,0
2013-09-13 23:51:00,60.1,60,8.1,10.0,0,0
