datetime,temp,humidity,windspeed,visibility,rain,snow
2013-06-01 00:51:00,79.0,56,6.9,10.0,0,0
2013-06-01 01:51:00,77.0,64,4.6,10.0,0,0
2013-06-01 02:51:00,75.9,69,NA,10.0,0,0
2013-06-01 03:51:00,75.9,69,4.6,10.0,0,0
2013-06-01 04:51:00,73.9,73,0.0,10.0,0,0
2013-06-01 05:51:00,73.9,73,5.8,9.0,0,0
2013-06-01 06:51:00,73.9,73,3.5,9.0,0,0
2013-06-01 07:51:00,73.9,73,NA,9.0,0,0
2013-06-01 08:51:00,77.0,66,0.0,9.0,0,0
2013-06-01 09:51:00,79.0,64,0.0,10.0,0,0
2013-06-01 10:51:00,82.9,58,4.6,10.0,0,0
2013-06-01 11:51:00,84.9,53,6.9,10.0,0,0
2013-06-01 12:51:00,88.0,51,4.6,10.0,0,0
2013-06-01 13:51:00,88.0,49,6.9,10.0,0,0
2013-06-01 14:51:00,88.0,48,NA,10.0,0,0
2013-06-01 16:51:00,88.0,46,4.6,10.0,0,0
2013-06-01 17:51:00,86.0,46,4.6,10.0,0,0
2013-06-01 18:51:00,84.0,51,0.0,10.0,0,0
2013-06-01 19:51:00,82.0,54,5.8,10.0,0,0
2013-06-01 20:51:00,82.0,58,3.5,10.0,0,0
2013-06-01 21:51:00,81.0,60,3.5,10.0,0,0
2013-06-01 22:51:00,79.0,66,0.0,10.0,0,0
2013-06-01 23:51:00,78.1,68,3.5,10.0,0,0
2013-06-02 00:51:00,78.1,68,6.9,10.0,0,0
2013-06-02 01:51:00,75.9,74,4.6,10.0,0,0
2013-06-02 02:51:00,75.0,73,5.8,10.0,0,0
2013-06-02 03:51:00,75.0,73,4.6,10.0,0,0
2013-06-02 04:51:00,75.0,71,6.9,10.0,0,0
2013-06-02 05:51:00,73.9,73,5.8,10.0,0,0
2013-06-02 06:51:00,73.9,76,NA,10.0,0,0
2013-06-02 07:51:00,75.9,69,3.5,10.0,0,0
2013-06-02 08:51:00,77.0,69,5.8,10.0,0,0
2013-06-02 09:51:00,79.0,66,3.5,10.0,0,0
2013-06-02 10:51:00,82.0,60,8.1,10.0,0,0
2013-06-02 11:51:00,84.9,55,NA,10.0,0,0
