timestamp, available_bikes
1396327620,16.000000
1396327680,16.000000
1396327740,16.000000
1396327800,16.000000
1396327860,16.000000
1396327920,16.000000
1396327980,16.000000
1396328040,16.000000
1396328100,16.000000
1396328160,16.000000
1396328220,16.000000
1396328280,16.000000
1396328340,None
1396328400,16.000000
1396328460,16.000000
1396328520,16.000000
1396328580,16.000000
1396328640,16.000000
1396328700,16.000000
1396328760,None
1396328820,16.000000
1396328880,16.000000
1396328940,16.000000
1396329000,16.000000
1396329060,16.000000
1396329120,16.000000
1396329180,None
1396329240,16.000000
1396329300,16.000000
1396329360,16.000000
1396329420,16.000000
1396329480,16.000000
1396329540,16.000000
1396329600,16.000000
1396329660,16.000000
1396329720,16.000000
1396329780,None
1396329840,16.000000
1396329900,16.000000
1396329960,16.000000
1396330020,16.000000
