datetime,available_bikes
1371150360,1
1371150420,1
1371150480,1
1371150600,1
1371150660,1
1371150720,1
1371150840,1
1371150900,1
1371150960,1
1371151020,1
1371151080,1
1371151140,1
1371151260,1
1371151320,1
1371151380,1
1371151440,1
1371151560,1
1371151620,1
1371151680,1
1371151740,1
1371151800,1
1371151860,1
1371151980,1
1371152040,1
1371152100,1
1371152220,1
1371152340,1
1371152400,1
1371152460,1
1371152520,1
1371152580,1
1371152640,1
1371152700,1
1371152760,1
1371152820,0
1371152880,0
1371152940,0
1371153000,0
1371153060,0
1371153120,0
1371153180,0
1371153240,0
1371153300,0
1371153420,0
1371153540,0
1371153600,0
1371153660,0
1371153780,0
1371153840,1
1371153900,1
1371153960,1
1371154020,0
1371154080,1
1371154140,1
1371154260,3
1371154320,4
1371154380,4
1371154440,4
1371154500,6
1371154560,8
1371154680,11
1371154740,13
1371154800,14
1371154860,15
1371154980,15
1371155040,15
1371155100,15
1371155220,15
1371155280,15
1371155340,15
1371155400,15
1371155520,15
1371155580,15
1371155640,15
1371155700,15
1371155760,15
1371155820,15
1371155880,15
1371155940,15
1371156000,15
1371156060,15
1371156120,16
1371156240,16
1371156300,16
1371156360,16
1371156480,16
1371156540,16
1371156600,16
1371156660,16
1371156720,16
1371156780,16
1371156900,16
1371156960,16
1371157020,16
1371157080,16
1371157140,16
1371157260,17
1371157320,17
1371157380,17
1371157440,17
1371157500,17
1371157560,17
1371157620,17
1371157680,16
1371157740,16
1371157860,16
1371157920,16
1371157980,16
1371158040,16
1371158100,16
1371158160,16
1371158220,14
1371158340,14
1371158400,14
1371158520,14
1371158580,15
1371158640,15
1371158700,15
1371158760,15
1371158880,15
1371158940,15
1371159000,15
1371159060,15
1371159120,15
1371159180,15
1371159240,15
1371159360,15
1371159420,15
1371159480,15
1371159540,15
1371159660,15
1371159720,15
1371159780,15
1371159840,15
1371159900,15
1371159960,15
1371160020,15
1371160080,16
1371160140,16
1371160200,16
1371160320,16
1371160380,16
1371160440,16
1371160500,16
1371160560,15
1371160680,15
1371160740,15
1371160800,15
1371160920,16
1371160980,16
1371161040,16
1371161160,15
1371161280,15
1371161340,15
1371161400,15
1371161460,15
1371161580,15
1371161640,15
1371161700,16
1371161760,17
1371161820,17
1371161880,17
1371161940,17
1371162000,19
1371162120,21
1371162240,21
1371162360,20
1371162420,20
1371162480,20
1371162540,20
1371162600,20
1371162660,20
1371162720,20
1371162780,20
1371162840,20
1371162900,20
1371163020,19
1371163080,19
1371163140,19
1371163200,19
1371163320,19
1371163380,19
1371163440,19
1371163560,19
1371163680,18
1371163740,18
1371163800,17
1371163860,17
1371163980,17
1371164040,17
1371164100,17
